index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
374,N,,,,,Cox Broadcasting Corp.,Cohn,,petitioner,October Term 1974,73-938,,1974-059,420 U.S. 469,82,,,Byron White,8,1,1974-11-11,1975-03-03,First Amendment,,"1st Amendment (speech, press, and assembly)","libel, privacy: true and false light invasions of privacy",,,,,,,,,"https://www.oyez.org/cases/1974/73-938",,,,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell",,William Rehnquist,
375,,,,,,Weinberger,Wiesenfeld,,respondent,October Term 1974,73-1892,,1974-070,420 U.S. 636,82,,,William Brennan,8,0,1975-01-20,1975-03-19,Civil Rights,,5th Amendment (equal protection),sex discrimination (excluding sex discrimination in employment),,,,,"https://lonedissent.org/briefs/featured/weinberger-v-wiesenfeld",,,,"https://www.oyez.org/cases/1974/73-1892","https://en.wikipedia.org/wiki/Weinberger_v._Wiesenfeld",,,"Warren Burger,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,William Rehnquist","90,92,93,96,97,98,99,100",,William Douglas
376,N,,,,,Eastland,United States Servicemen's Fund,,petitioner,October Term 1974,73-1923,,1974-104,421 U.S. 491,82,,,Warren Burger,8,1,1975-01-22,1975-05-27,First Amendment,,"Article I, Section 6, Paragraph 1 (speech or debate clause)","legislative investigations: concerning internal security only",,,,,,,,,"https://www.oyez.org/cases/1974/73-1923",,,,"Warren Burger,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,William Rehnquist",,William Douglas,
377,,,,,,Warth,Seldin,,respondent,October Term 1974,73-2024,,1974-140,422 U.S. 490,,,,Lewis Powell,5,4,1975-03-17,1975-06-25,Judicial Power,,,"standing to sue: direct injury",,,,,"https://lonedissent.org/briefs/featured/warth-v-seldin",,,,"https://www.oyez.org/cases/1974/73-2024","https://en.wikipedia.org/wiki/Warth_v._Seldin",,,"Warren Burger,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist","99,92,97,98,100","William Douglas,William Brennan,Byron White,Thurgood Marshall",
378,N,,,,,Michelin Tire Corp.,Wages,,respondent,October Term 1975,74-1396,,1975-024,423 U.S. 276,83,,,William Brennan,8,0,1975-10-15,1976-01-14,Economic Activity,,"Article I, Section 10, Paragraph 2 (export-import clause)",state or local government tax,,,,,,,,,"https://www.oyez.org/cases/1975/74-1396",,,,"Warren Burger,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,William Rehnquist",,,John Paul Stevens
379,,,,,,Buckley,Valeo,,petitioner,October Term 1975,"75-436,75-437",,1975-033,424 U.S. 1,"84,85",,42,,7,1,1975-11-10,1976-01-30,First Amendment,Campaign Spending,1st Amendment,"campaign spending (cf. governmental corruption):",,,"""[P]ublic disclosure…is an effective means of revealing the type of political support that is sometimes coupled with expectations of special favors or rewards.""",Chief Justice Warren Burger,,,,,"https://www.oyez.org/cases/1975/75-436","https://en.wikipedia.org/wiki/Buckley_v._Valeo","https://conlaw.us/case/buckley-v-valeo-1976/",,"William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,William Rehnquist","90,92,93,96,98,99,100",Warren Burger,John Paul Stevens
380,N,,,,,Hills,Gautreaux,,respondent,October Term 1975,74-1047,,1975-076,425 U.S. 284,87,,,Potter Stewart,8,0,1976-01-20,1976-04-20,Civil Rights,,,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",,,,,,,,,"https://www.oyez.org/cases/1975/74-1047",,,,"Warren Burger,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,William Rehnquist",,,John Paul Stevens
381,,,,,,"Alfred Dunhill of London, Inc.",Cuba,,petitioner,October Term 1975,73-1288,,1975-096,425 U.S. 682,,,,Byron White,5,4,1974-12-10,1976-05-24,Judicial Power,,,"judicial administration: Act of State doctrine",,,,,,,,,"https://www.oyez.org/cases/1974/73-1288",,,,"Warren Burger,Byron White,Lewis Powell,William Rehnquist,John Paul Stevens","93,97,99,100,101","William Brennan,Potter Stewart,Thurgood Marshall,Harry Blackmun",
382,,,,,,Virgina Pharmacy Board,Virginia Consumer Council,,respondent,October Term 1975,74-895,,1975-098,425 U.S. 748,86,,,Harry Blackmun,7,1,1975-11-11,1976-05-24,First Amendment,,"1st Amendment (speech, press, and assembly)","commercial speech, excluding attorneys",,,,,"https://lonedissent.org/briefs/featured/virginia-pharmacy-bd-v-virginia-consumer-council",,,,"https://www.oyez.org/cases/1975/74-895","https://en.wikipedia.org/wiki/Virginia_State_Pharmacy_Board_v._Virginia_Citizens_Consumer_Council",,,"Warren Burger,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell","98,90,92,93,96,97,99",William Rehnquist,John Paul Stevens
383,,,,,,Washington,Davis,,petitioner,October Term 1975,74-1492,,1975-113,426 U.S. 229,88,,,Byron White,7,2,1976-03-01,1976-06-07,Civil Rights,,5th Amendment (equal protection),"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",,,,,"https://lonedissent.org/briefs/featured/washington-v-davis",,,,"https://www.oyez.org/cases/1975/74-1492","https://en.wikipedia.org/wiki/Washington_v._Davis",,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist,John Paul Stevens","93,92,97,98,99,100,101","William Brennan,Thurgood Marshall",
384,,,,,,"TSC Industries, Inc.","Northway, Inc.",,petitioner,October Term 1975,74-1471,,1975-125,426 U.S. 438,,,,Thurgood Marshall,8,0,1976-03-03,1976-06-14,Economic Activity,,"Securities Act of 1933, the Securities and Exchange Act of 1934, or the Williams Act",federal or state regulation of securities,,,,,,,,,"https://www.oyez.org/cases/1975/74-1471",,,,"Warren Burger,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,William Rehnquist","96,90,92,93,97,98,99,100",,John Paul Stevens
385,,,,,,National League of Cities,Usery,,petitioner,October Term 1975,74-878,,1975-143,426 U.S. 833,86,,,William Rehnquist,5,4,"1975-04-16,1976-03-02",1976-06-24,Unions,,"Article I, Section 8, Paragraph 3 (interstate commerce clause)",Fair Labor Standards Act,,,,,"https://lonedissent.org/briefs/featured/national-league-of-cities-v-usery",,,,"https://www.oyez.org/cases/1974/74-878","https://en.wikipedia.org/wiki/National_League_of_Cities_v._Usery",,,"Warren Burger,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist","100,92,97,98,99","William Brennan,Byron White,Thurgood Marshall,John Paul Stevens",
386,N,,,,,Runyon,McCrary,,respondent,October Term 1975,"75-62,75-66,75-278,75-306","Consolidated with Fairfax-Brewster School v. Gonzales (No. 75-66), Southern Independent School Assn. v. McCrary (No. 75-278), and McCrary v. Runyon (No. 75-306)",1975-150,427 U.S. 160,83,,,Potter Stewart,7,2,1976-04-26,1976-06-25,Civil Rights,,Reconstruction Civil Rights Acts (42 U.S.C. ¬ß 1981),"desegregation, schools",,,,,,,,,"https://www.oyez.org/cases/1975/75-62",,,,"Warren Burger,William Brennan,Potter Stewart,Thurgood Marshall,Harry Blackmun,Lewis Powell,John Paul Stevens",,"Byron White,William Rehnquist",
387,N,,,,,Nebraska Press Assn.,Stuart,,petitioner,October Term 1975,75-817,,1975-166,427 U.S. 539,87,,,Warren Burger,9,0,1976-04-19,1976-06-30,First Amendment,,"1st Amendment (speech, press, and assembly)","1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,,,,,"https://www.oyez.org/cases/1975/75-817",,,,"Potter Stewart,Thurgood Marshall,William Brennan,Byron White,Warren Burger,Harry Blackmun,Lewis Powell,William Rehnquist,John Paul Stevens",,,
388,075,21,7,8,,Gregg,Georgia,,respondent,October Term 1975,74-6257,,1975-173,428 U.S. 153,"89,90",112,41,Potter Stewart,7,2,1976-03-31,1976-07-02,Criminal Procedure,Death Penalty,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,"""[O]ne of society's most basic tasks is that of protecting the lives of its citizens and one of the most basic ways in which it achieves the task is through criminal laws against murder.""",Justice Byron White,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1975/74-6257/19760702o_74-6257.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1975/74-6257/19760331a_74-6257.delivery.mp3",,,"https://www.oyez.org/cases/1975/74-6257","https://en.wikipedia.org/wiki/Gregg_v._Georgia",,"http://landmarkcases.c-span.org/Case/26/Gregg-v-Georgia","Warren Burger,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist,John Paul Stevens","92,93,97,98,99,100,101","William Brennan,Thurgood Marshall",
389,,,,,,Proffitt,Florida,,respondent,October Term 1975,75-5706,,1975-174,428 U.S. 242,"89,90",,,Lewis Powell,7,2,1976-03-31,1976-07-02,Criminal Procedure,,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,,,,,,,"https://www.oyez.org/cases/1975/75-5706",,,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist,John Paul Stevens","99,92,93,97,98,100,101","William Brennan,Thurgood Marshall",
390,,,,,,Jurek,Texas,,respondent,October Term 1975,"75-5394,75-5844",,1975-175,428 U.S. 262,"89,90",,,John Paul Stevens,7,2,"1976-03-30,1976-03-31",1976-07-02,Criminal Procedure,,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,,,,,,,"https://www.oyez.org/cases/1975/75-5394",,,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist,John Paul Stevens","101,92,93,97,98,99,100","William Brennan,Thurgood Marshall",
391,,,,,,Woodson,North Carolina,,petitioner,October Term 1975,75-5491,,1975-176,428 U.S. 280,"89,90",,,Potter Stewart,5,4,1976-03-31,1976-07-02,Criminal Procedure,,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,,,,,,,"https://www.oyez.org/cases/1975/75-5491",,,,"William Brennan,Potter Stewart,Thurgood Marshall,Lewis Powell,John Paul Stevens","92,90,96,99,101","Warren Burger,Byron White,Harry Blackmun,William Rehnquist",
392,,,,,,Roberts,Louisiana,,petitioner,October Term 1975,"75-5394,75-5844",,1975-177,428 U.S. 325,"89,90",,,John Paul Stevens,5,4,"1976-03-30,1976-03-31",1976-07-02,Criminal Procedure,,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,,,,,,,"https://www.oyez.org/cases/1975/75-5844",,,,"William Brennan,Potter Stewart,Thurgood Marshall,Lewis Powell,John Paul Stevens","101,90,92,96,99","Warren Burger,Byron White,Harry Blackmun,William Rehnquist",
393,N,,,,,Stone,Powell,,petitioner,October Term 1975,74-1055,,1975-181,428 U.S. 465,88,,,Lewis Powell,6,3,1976-02-24,1976-07-06,Criminal Procedure,,28 U.S.C. ¬ß 2241-2255 (habeas corpus),habeas corpus,,,,,,,,,"https://www.oyez.org/cases/1975/74-1055",,,,"Warren Burger,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist,John Paul Stevens",,"William Brennan,Byron White,Thurgood Marshall",
394,022,73,5,14S1C4,,Craig,Boren,,petitioner,October Term 1976,75-628,,1976-025,429 U.S. 190,91,64,43,William Brennan,7,2,1976-10-05,1976-12-20,Civil Rights,Sex Discrimination of Men,14th Amendment (equal protection),sex discrimination (excluding sex discrimination in employment),,,"""[T]he statistics upon which the State now relies…wholly fail to prove or even suggest that 3.2% beer is somehow more deleterious when it comes into the hands of a male aged 18-20 than of a female of like age.""",Justice William Brennan,"https://lonedissent.org/briefs/featured/craig-v-boren","https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1976/75-628/19761220o_75-628.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1976/75-628/19761005a_75-628.delivery.mp3",,,"https://www.oyez.org/cases/1976/75-628","https://en.wikipedia.org/wiki/Craig_v._Boren","https://conlaw.us/case/craig-v-boren-1976/",,"William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,John Paul Stevens","90,92,93,96,98,99,101","Warren Burger,William Rehnquist",
395,N,,,,,Arlington Heights,Metropolitan Housing Development Corp.,,petitioner,October Term 1976,75-616,,1976-028,429 U.S. 252,91,,,Lewis Powell,5,3,1976-10-13,1977-01-11,Civil Rights,,14th Amendment (equal protection),"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",,,,,,,,,"https://www.oyez.org/cases/1976/75-616",,,,"Warren Burger,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Brennan,Byron White,Thurgood Marshall",John Paul Stevens
396,N,,,,,Whalen,Roe,,petitioner,October Term 1976,75-839,,1976-047,429 U.S. 589,92,,,John Paul Stevens,9,0,1976-10-13,1977-02-22,Privacy,,14th Amendment (due process),"privacy (cf. libel, comity: privacy)",,,,,,,,,"https://www.oyez.org/cases/1976/75-839",,,,"Potter Stewart,Thurgood Marshall,William Brennan,Byron White,Warren Burger,Harry Blackmun,Lewis Powell,William Rehnquist,John Paul Stevens",,,
397,N,,,,,"United Jewish Organizations of Williamsburgh, Inc.",Carey,,respondent,October Term 1976,75-104,,1976-059,430 U.S. 144,92,,,Byron White,7,1,1976-10-06,1977-03-01,Civil Rights,,14th Amendment (equal protection),"reapportionment: other than plans governed by the Voting Rights Act",,,,,,,,,"https://www.oyez.org/cases/1976/75-104",,,,"William Brennan,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist,John Paul Stevens",,Warren Burger,Thurgood Marshall
398,N,,,,,Ingraham,Wright,,respondent,October Term 1976,75-6527,,1976-085,430 U.S. 651,93,,,Lewis Powell,5,4,"1976-11-02,1976-11-03",1977-04-19,Criminal Procedure,,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, non-death penalty (cf. liability, civil rights acts)",,,,,,,,,"https://www.oyez.org/cases/1976/75-6527",,,,"Warren Burger,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Brennan,Byron White,Thurgood Marshall,John Paul Stevens",
399,,,,,,Wooley,Maynard,,respondent,October Term 1976,75-1453,,1976-088,430 U.S. 705,,,,Warren Burger,6,3,1976-11-29,1977-04-20,First Amendment,,1st Amendment (free exercise of religion),free exercise of religion,,,,,"https://lonedissent.org/briefs/featured/wooley-v-maynard",,,,"https://www.oyez.org/cases/1976/75-1453","https://en.wikipedia.org/wiki/Wooley_v._Maynard",,,"Warren Burger,William Brennan,Potter Stewart,Thurgood Marshall,Lewis Powell,John Paul Stevens","97,90,92,96,99,101","Byron White,Harry Blackmun,William Rehnquist",
400,,,,,,United States Trust Co.,New Jersey,,petitioner,October Term 1976,75-1687,,1976-094,431 U.S. 1,93,,,Harry Blackmun,4,3,1976-11-10,1977-04-27,Economic Activity,,"Article I, Section 10, Paragraph 1 (contract clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,"https://lonedissent.org/briefs/featured/united-states-trust-co-of-ny-v-new-jersey",,,,"https://www.oyez.org/cases/1976/75-1687",,,,"Warren Burger,Harry Blackmun,William Rehnquist,John Paul Stevens","98,97,100,101","William Brennan,Byron White,Thurgood Marshall","Potter Stewart,Lewis Powell"
401,N,,,,,"Linmark Associates, Inc.",Willingboro,,petitioner,October Term 1976,76-357,,1976-096,431 U.S. 85,94,,,Thurgood Marshall,8,0,1977-03-02,1977-05-02,First Amendment,,"1st Amendment (speech, press, and assembly)","commercial speech, excluding attorneys",,,,,,,,,"https://www.oyez.org/cases/1976/76-357",,,,"Warren Burger,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,John Paul Stevens",,,William Rehnquist
402,N,,,,,Smith,United States,,respondent,October Term 1976,75-1439,,1976-110,431 U.S. 291,94,,,Harry Blackmun,5,4,1976-12-08,1977-05-23,First Amendment,,Infrequently litigated statutes,"obscenity, federal",,,,,,,,,"https://www.oyez.org/cases/1976/75-1439",,,,"Warren Burger,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Brennan,Potter Stewart,Thurgood Marshall,John Paul Stevens",
403,N,,,,,Ward,Illinois,,respondent,October Term 1976,76-415,,1976-128,431 U.S. 767,95,,,Byron White,5,4,1977-04-27,1977-06-09,First Amendment,,"1st Amendment (speech, press, and assembly)","obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment",,,,,,,,,"https://www.oyez.org/cases/1976/76-415",,,,"Warren Burger,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Brennan,Potter Stewart,Thurgood Marshall,John Paul Stevens",
404,N,,,,,Maher,Roe,,petitioner,October Term 1976,75-1440,,1976-155,432 U.S. 464,95,,,Lewis Powell,6,3,1977-01-11,1977-06-20,Privacy,,14th Amendment (equal protection),"abortion: including contraceptives",,,,,,,,,"https://www.oyez.org/cases/1976/75-1440",,,,"Warren Burger,Potter Stewart,Byron White,Lewis Powell,William Rehnquist,John Paul Stevens",,"William Brennan,Thurgood Marshall,Harry Blackmun",
